Date,Asset_id,Field,Oil_production
2018-07-20,OML4/38/41,Amukpe,9900.21
2019-09-14,OML42,Batan,9900
2021-02-08,OML38/49/51,Aroh,990
2018-06-05,OML38/49/51,Aroh,990
2021-02-08,OML38/49/51,Oghareki,990
2018-06-05,OML38/49/51,Oghareki,990
2020-03-07,OML34,Utorogu,990
2018-06-06,OML34,Utorogu,99.94
2019-10-02,OML4/38/41,Sapele,99.2
2021-09-29,OML34,Utorogu,99
2021-08-10,OML20,Egbema,9899.95
2021-05-07,OML119,Okono,9898.38
2021-11-12,OML42,JonesCreek,9895
2018-10-20,OML42,Batan,9894
2018-11-06,OML26,Ogini,9893
2020-05-20,OML34,UghelliEast,989.46
2021-10-03,OML4/38/41,Oben,9889.9
2020-10-02,OML40,Opuama,9884.88
2020-11-10,OML119,Okono,9884.22
2019-12-05,OML40,Opuama,9883
2021-06-15,OML30,Eriemu,9882
2021-06-15,OML30,Afiesere,9882
2018-03-13,OML111/148,Oziengbe,9881.82
2021-03-12,OML16,AburaSouth,9881.76
2021-05-28,OML20,Egbema,9880.77
2019-02-09,OML26,Ogini,9880
2021-03-30,OML20,Egbema,988.45
2018-07-23,OML40,Gbetiokun,9879.65
2018-03-22,OML4/38/41,Amukpe,9879.54
2019-01-21,OML26,Ogini,9879
2021-09-14,OML16,Abura,9877.74
2020-07-05,OML26,Ogini,9874
2020-11-22,OML119,Okono,9870.95
2019-05-07,OML34,UghelliEast,987.41
2020-04-12,OML34,UghelliEast,987.32
2018-07-05,OML4/38/41,Amukpe,9869
2021-04-19,OML42,Odidi,9869
2018-04-20,OML4/38/41,Amukpe,9868.4
2021-04-04,OML40,Gbetiokun,9868.36
2020-08-08,OML119,Okono,9867.23
2020-05-22,OML119,Okono,9866.54
2018-09-10,OML26,Ogini,9866
2021-11-09,OML40,Gbetiokun,9862.24
2020-01-11,OML26,Ogini,9861
2018-10-03,OML42,Batan,9860
2018-01-08,OML34,UghelliEast,986.84
2021-09-29,OML42,Batan,986
2018-09-07,OML4/38/41,Amukpe,9857.84
2019-05-18,OML45,Oredo,9857.73
2021-03-24,OML40,Gbetiokun,9856.26
2019-11-23,OML40,Opuama,9855.25
2021-07-29,OML45,Oredo,9853.84
2018-09-16,OML4/38/41,Amukpe,9851.11
2018-03-20,OML4/38/41,Amukpe,9850.1
2020-02-12,OML42,Batan,9850
2020-08-04,OML38/49/51,Oghareki,985.5
2020-08-04,OML38/49/51,Aroh,985.5
2020-08-05,OML38/49/51,Oghareki,985.5
2020-08-05,OML38/49/51,Aroh,985.5
2020-08-03,OML38/49/51,Aroh,985.5
2020-08-03,OML38/49/51,Oghareki,985.5
2020-08-06,OML38/49/51,Oghareki,985.5
2020-08-06,OML38/49/51,Aroh,985.5
2020-08-07,OML38/49/51,Oghareki,985.5
2020-08-07,OML38/49/51,Aroh,985.5
2020-08-14,OML38/49/51,Aroh,985.5
2020-08-08,OML38/49/51,Oghareki,985.5
2020-08-18,OML38/49/51,Oghareki,985.5
2020-08-09,OML38/49/51,Oghareki,985.5
2020-08-09,OML38/49/51,Aroh,985.5
2020-08-08,OML38/49/51,Aroh,985.5
2020-08-13,OML38/49/51,Oghareki,985.5
2020-08-13,OML38/49/51,Aroh,985.5
2020-08-14,OML38/49/51,Oghareki,985.5
2020-08-18,OML38/49/51,Aroh,985.5
2020-08-15,OML38/49/51,Oghareki,985.5
2020-08-15,OML38/49/51,Aroh,985.5
2020-08-16,OML38/49/51,Oghareki,985.5
2020-08-16,OML38/49/51,Aroh,985.5
2020-08-17,OML38/49/51,Oghareki,985.5
2020-08-17,OML38/49/51,Aroh,985.5
2021-11-07,OML119,Okpoho,985
2020-08-15,OML16,AburaSouth,9849.31
2020-08-14,OML16,AburaSouth,9849.31
2019-04-27,OML26,Ogini,9849
2020-08-31,OML16,AburaSouth,9849
2020-09-10,OML16,AburaSouth,9849
2020-09-09,OML16,AburaSouth,9849
2020-09-08,OML16,AburaSouth,9849
2020-09-07,OML16,AburaSouth,9849
2020-09-06,OML16,AburaSouth,9849
2020-09-04,OML16,AburaSouth,9849
2020-09-03,OML16,AburaSouth,9849
2020-09-02,OML16,AburaSouth,9849
2020-09-01,OML16,AburaSouth,9849
2020-08-29,OML16,AburaSouth,9849
2020-08-30,OML16,AburaSouth,9849
2020-08-24,OML16,AburaSouth,9849
2020-08-28,OML16,AburaSouth,9849
2020-08-27,OML16,AburaSouth,9849
2020-08-26,OML16,AburaSouth,9849
2020-08-17,OML16,AburaSouth,9849
2020-08-18,OML16,AburaSouth,9849
2020-08-21,OML16,AburaSouth,9849
2020-08-19,OML16,AburaSouth,9849
2020-08-20,OML16,AburaSouth,9849
2020-08-25,OML16,AburaSouth,9849
2020-08-22,OML16,AburaSouth,9849
2020-09-11,OML16,AburaSouth,9849
2018-03-16,OML4/38/41,Amukpe,9847.71
2019-12-06,OML40,Opuama,9847
2021-07-30,OML20,Egbema,9846.46
2021-12-18,OML30,Afiesere,9844.155
2021-12-18,OML30,Eriemu,9844.155
2018-11-14,OML119,Okono,984.51
2018-01-09,OML34,UghelliEast,984.23
2021-07-27,OML45,Oredo,9839.77
2018-05-23,OML30,Afiesere,9838.5
2018-05-23,OML30,Eriemu,9838.5
2019-12-13,OML42,Batan,9837
2021-07-28,OML45,Oredo,9836.75
2021-11-12,OML4/38/41,Sapele,9835.043431
2018-08-04,OML4/38/41,Amukpe,9834.9
2020-10-05,OML40,Opuama,9833.74
2018-02-17,OML4/38/41,Amukpe,9832.59
2020-10-06,OML40,Opuama,9832.58
2019-12-09,OML42,Batan,9832
2019-04-17,OML26,Ogini,9831
2020-07-17,OML119,Okono,9830.73
2021-05-11,OML4/38/41,Sapele,9829.68
2021-10-28,OML45,Oredo,9828.85
2021-04-08,OML40,Opuama,9828
2021-01-28,OML42,Odidi,9826
2019-12-12,OML42,Batan,9825
2018-09-02,OML4/38/41,Amukpe,9821.85
2020-11-20,OML119,Okono,9820.04
2019-05-06,OML34,UghelliEast,982.97
2021-08-15,OML42,Odidi,9818
2018-01-16,OML4/38/41,Amukpe,9815.71
2019-12-11,OML42,Batan,9813
2019-07-06,OML26,Ogini,9810
2021-04-03,OML40,Gbetiokun,9809.59
2020-02-26,OML26,Ogini,9807
2019-11-26,OML40,Opuama,9805
2020-10-03,OML40,Opuama,9803.22
2021-07-26,OML45,Oredo,9800.15
2019-12-07,OML40,Opuama,9800
2021-10-15,OML20,Egbema,980.4070516
2021-10-01,OML34,Utorogu,98
2021-07-30,OML45,Oredo,9799.85
2021-08-12,OML20,Egbema,9796.19
2021-02-01,OML42,Odidi,9796
2021-07-14,OML40,Opuama,9795
2020-10-17,OML16,AburaSouth,9794
2020-10-28,OML16,AburaSouth,9794
2020-10-20,OML16,AburaSouth,9794
2020-10-23,OML16,AburaSouth,9794
2020-10-29,OML16,AburaSouth,9794
2020-10-19,OML16,AburaSouth,9794
2020-10-31,OML16,AburaSouth,9794
2020-10-27,OML16,AburaSouth,9794
2020-11-01,OML16,AburaSouth,9794
2020-10-30,OML16,AburaSouth,9794
2020-10-26,OML16,AburaSouth,9794
2019-08-19,OML40,Opuama,9793.26
2021-08-07,OML42,Odidi,9790
2018-07-18,OML4/38/41,Sapele,979
2021-07-06,OML40,Opuama,9788
2020-06-26,OML26,Ogini,9787
2021-09-14,OML42,Odidi,9787
2019-09-10,OML42,Batan,9786
2019-12-07,OML42,Batan,9784
2020-12-01,OML60/61/62/63,Idu,9783.97
2021-03-25,OML40,Gbetiokun,9780.06
2021-11-24,OML42,JonesCreek,9780
2020-10-11,OML45,Oredo,9779.78
2021-05-08,OML42,Odidi,9778
2020-09-17,OML119,Okono,9777.59
2021-07-15,OML30,Afiesere,9775.8
2021-07-15,OML30,Eriemu,9775.8
2018-09-19,OML4/38/41,Amukpe,9773.12
2018-11-10,OML42,Batan,9773
2021-04-09,OML30,Eriemu,9770.88
2021-04-09,OML30,Afiesere,9770.88
2021-08-16,OML42,Odidi,9769
2019-09-28,OML42,Batan,9768
2021-11-20,OML42,JonesCreek,9765
2018-03-18,OML4/38/41,Amukpe,9764.13
2019-12-10,OML42,Batan,9764
2021-11-27,OML16,Abura,9763
2021-11-25,OML42,JonesCreek,9763
2019-12-08,OML42,Batan,9761
2021-03-27,OML40,Gbetiokun,9760.16
2021-03-29,OML40,Opuama,9759
2021-08-07,OML20,Egbema,9758.94
2021-11-05,OML45,Oredo,9757.34
2021-05-25,OML40,Opuama,9757
2021-04-23,OML40,Opuama,9756
2021-11-13,OML4/38/41,Sapele,9752.077309
2021-12-31,OML42,Odidi,9752
2020-12-14,OML4/38/41,Sapele,9751.97
2020-10-09,OML40,Opuama,9750.08
2019-09-29,OML34,UghelliEast,975.9
2020-07-01,OML119,Okono,9749.86
2018-08-05,OML42,Batan,9746
2020-12-02,OML26,Ogini,9746
2020-10-13,OML40,Opuama,9744.5
2018-08-18,OML4/38/41,Amukpe,9742.75
2019-06-18,OML45,Oredo,9742.43
2018-11-03,OML26,Ogini,9742
2020-09-23,OML34,UghelliEast,9741
2020-10-04,OML40,Opuama,9740.25
2020-07-02,OML26,Ogini,9737
2019-07-10,OML26,Ogini,9736
2020-10-16,OML119,Okono,9735.76
2020-10-07,OML119,Okono,9735.16
2021-03-20,OML40,Opuama,9734
2019-12-08,OML40,Opuama,9733
2021-06-06,OML30,Eriemu,9732.79
2021-06-06,OML30,Afiesere,9732.79
2019-11-28,OML40,Opuama,9732
2019-12-04,OML40,Opuama,9732
2019-09-23,OML4/38/41,Sapele,9731.44
2021-07-25,OML45,Oredo,9730.47
2020-10-10,OML40,Opuama,9730.43
2021-08-05,OML20,Egbema,9727.25
2021-05-29,OML40,Opuama,9725
2018-02-28,OML4/38/41,Amukpe,9725
2021-03-31,OML40,Gbetiokun,9724.36
2018-07-22,OML4/38/41,Amukpe,9721.59
2019-12-10,OML40,Opuama,9720
2019-11-27,OML40,Opuama,9719.97
2018-10-01,OML4/38/41,Amukpe,9717.77
2020-11-29,OML4/38/41,Sapele,9717.43
2018-06-25,OML4/38/41,Oben,9715.65
2020-10-18,OML119,Okono,9714.33
2018-06-01,OML4/38/41,Amukpe,9713.48
2018-01-10,OML34,UghelliEast,971.72
2021-09-05,OML42,Odidi,971
2021-09-06,OML42,Odidi,971
2021-04-01,OML40,Gbetiokun,9708.95
2021-07-08,OML119,Okono,9707.12
2021-12-04,OML40,Opuama,9707
2018-08-25,OML4/38/41,Amukpe,9706.36
2021-07-17,OML20,Egbema,9705.82
2021-07-04,OML40,Opuama,9705
2018-03-21,OML4/38/41,Amukpe,9704.83
2021-07-29,OML30,Eriemu,9704.13
2021-07-29,OML30,Afiesere,9704.13
2018-12-04,OML42,Batan,9704
2020-10-08,OML119,Okono,9703.78
2018-08-30,OML4/38/41,Amukpe,9703.59
2020-10-17,OML119,Okono,9703.46
2020-10-10,OML119,Okono,9702.76
2021-05-23,OML40,Opuama,9702
2021-11-04,OML45,Oredo,9700.94
2018-03-29,OML4/38/41,Sapele,970.5
2018-03-29,OML4/38/41,Sapele,970.5
2020-09-08,OML40,Opuama,9699.93
2021-09-16,OML26,Ogini,9698
2019-06-27,OML45,Oredo,9697.33
2018-09-05,OML4/38/41,Oben,9695.58
2019-07-11,OML45,Oredo,9695.31
2021-02-03,OML119,Okono,9695.3
2019-10-06,OML42,Batan,9695
2020-10-13,OML119,Okono,9694.83
2019-11-29,OML26,Ogini,9694
2020-10-11,OML40,Opuama,9693.9
2019-12-11,OML40,Opuama,9692
2018-07-21,OML42,Batan,9691
2018-05-06,OML4/38/41,Amukpe,9691
2021-03-29,OML40,Gbetiokun,9690.1
2018-04-11,OML4/38/41,Amukpe,9690.1
2021-03-08,OML26,Ogini,9690
2021-04-05,OML40,Gbetiokun,9689.98
2020-10-06,OML119,Okono,9689.85
2018-05-30,OML4/38/41,Amukpe,9689.59
2021-06-09,OML16,AburaSouth,9689.11
2021-06-08,OML16,AburaSouth,9689.11
2021-06-18,OML16,Abura,9689.11
2021-06-14,OML16,Abura,9689.11
2021-06-10,OML16,AburaSouth,9689.11
2021-06-11,OML16,Abura,9689.11
2021-06-12,OML16,Abura,9689.11
2021-06-13,OML16,Abura,9689.11
2021-04-04,OML42,Odidi,9689
2020-10-25,OML16,AburaSouth,9689
2018-09-21,OML26,Ogini,9688
2021-04-08,OML40,Gbetiokun,9687.42
2018-06-29,OML42,Batan,9686
2018-05-19,OML119,Okono,9682.02
2018-10-19,OML26,Ogini,9682
2019-12-09,OML40,Opuama,9682
2019-03-07,OML34,UghelliEast,968.63
2020-10-14,OML119,Okono,9678.24
2019-08-30,OML26,Ogini,9677
2018-09-08,OML4/38/41,Amukpe,9676.3
2018-01-28,OML4/38/41,Amukpe,9675
2019-11-30,OML40,Opuama,9675
2018-04-24,OML4/38/41,Amukpe,9674
2019-01-27,OML26,Ogini,9674
2019-07-04,OML26,Ogini,9673
2021-05-06,OML45,Oredo,9670.86
2019-03-15,OML34,UghelliEast,967.23
2021-04-21,OML111/148,Oziengbe,967
2018-10-02,OML4/38/41,Amukpe,9669.12
2020-10-15,OML119,Okono,9667.82
2019-08-06,OML45,Oredo,9666.96
2020-03-06,OML26,Ogini,9662
2020-03-07,OML26,Ogini,9662
2020-07-07,OML4/38/41,Amukpe,9661.2
2018-09-01,OML4/38/41,Amukpe,9660.48
2021-01-25,OML4/38/41,Sapele,9660.26
2018-08-06,OML42,Batan,9660
2021-03-22,OML40,Opuama,9660
2019-05-15,OML34,UghelliEast,966.41
2018-08-04,OML42,Batan,9658
2020-10-19,OML119,Okono,9657.16
2021-04-22,OML40,Opuama,9654
2019-11-24,OML40,Opuama,9653.69
2018-06-02,OML4/38/41,Amukpe,9652.95
2020-10-09,OML119,Okono,9651.3
2019-11-29,OML40,Opuama,9650
2020-04-21,OML34,UghelliEast,965.65
2018-08-02,OML38/49/51,Aroh,965.5
2018-08-02,OML38/49/51,Oghareki,965.5
2018-08-09,OML4/38/41,Amukpe,9649.61
2020-10-20,OML119,Okono,9649.26
2020-10-15,OML26,Ogini,9646
2021-11-17,OML4/38/41,Sapele,9645.8765
2020-12-13,OML4/38/41,Sapele,9645.69
2018-06-30,OML42,Batan,9645
2021-04-13,OML40,Opuama,9644
2018-02-05,OML42,Batan,9644
2020-11-11,OML26,Ogini,9644
2018-05-29,OML4/38/41,Amukpe,9643.22
2020-10-09,OML42,JonesCreek,9643
2018-08-09,OML42,Batan,9641
2019-12-12,OML40,Opuama,9640
2021-11-28,OML40,Opuama,9640
2020-04-27,OML34,UghelliEast,964.02
2021-05-03,OML42,Odidi,9639
2019-07-05,OML26,Ogini,9638
2021-03-23,OML40,Opuama,9636
2020-03-29,OML4/38/41,Amukpe,9635.78
2019-06-26,OML45,Oredo,9635.37
2021-04-06,OML40,Gbetiokun,9635.17
2021-05-14,OML45,Oredo,9633.13
2018-08-07,OML42,Batan,9632
2020-10-12,OML40,Opuama,9627.12
2018-01-21,OML4/38/41,Amukpe,9625.73
2021-02-20,OML26,Ogini,9625
2018-07-01,OML42,Batan,9625
2019-12-01,OML40,Opuama,9625
2021-04-30,OML40,Opuama,9625
2018-08-23,OML4/38/41,Amukpe,9624.49
2021-11-08,OML45,Oredo,9623.23
2018-12-24,OML26,Ogini,9623
2020-10-15,OML40,Opuama,9621.27
2019-12-14,OML40,Opuama,9620.26
2019-04-05,OML26,Ogini,9616
2021-04-09,OML40,Gbetiokun,9615.76
2021-05-19,OML40,Opuama,9615
2018-01-03,OML4/38/41,Amukpe,9613.72
2018-08-08,OML42,Batan,9613
2021-04-22,OML4/38/41,Sapele,9612.31
2021-06-01,OML40,Opuama,9612
2019-12-06,OML42,Batan,9610
2018-05-15,OML20,Egbema,961.69
2019-06-15,OML45,Oredo,9609.38
2020-09-25,OML40,Opuama,9606.56
2020-09-09,OML40,Opuama,9605.31
2021-03-09,OML40,Opuama,9603
2021-10-27,OML45,Oredo,9601.66
2021-05-03,OML40,Opuama,9600
2019-05-13,OML34,UghelliEast,960.95
2020-06-05,OML4/38/41,Amukpe,96.44
2020-02-15,OML28/30,UzereEast,96.33
2019-09-28,OML111/148,Oziengbe,96
2021-05-27,OML119,Okono,9599.81
2019-12-02,OML40,Opuama,9599
2019-05-20,OML45,Oredo,9597.53
2019-06-25,OML45,Oredo,9597.48
2021-12-05,OML40,Opuama,9597
2021-12-13,OML42,Odidi,9597
2018-06-05,OML4/38/41,Amukpe,9596.48
2019-06-10,OML26,Ogini,9596
2019-12-23,OML26,Ogini,9596
2020-10-08,OML40,Opuama,9595.36
2019-02-05,OML26,Ogini,9592
2020-10-14,OML40,Opuama,9591.88
2021-03-25,OML40,Opuama,9591
2020-10-11,OML119,Okono,9590.83
2018-01-30,OML4/38/41,Amukpe,9590
2020-08-02,OML38/49/51,Oghareki,959.5
2020-01-13,OML34,UghelliWest,959.5
2020-08-01,OML38/49/51,Aroh,959.5
2020-08-01,OML38/49/51,Oghareki,959.5
2020-08-02,OML38/49/51,Aroh,959.5
2019-09-03,OML42,Batan,9586
2018-08-26,OML4/38/41,Amukpe,9584.94
2019-06-23,OML45,Oredo,9583.83
2021-11-02,OML45,Oredo,9583.68
2019-06-19,OML45,Oredo,9583.48
2018-01-26,OML4/38/41,Amukpe,9582.25
2021-02-12,OML42,Odidi,9580
2019-11-01,OML40,Gbetiokun,9580
2019-05-14,OML34,UghelliEast,958.62
2020-10-11,OML16,AburaSouth,9578.35
2019-06-22,OML45,Oredo,9577.7
2019-08-20,OML26,Ogini,9577
2019-12-24,OML26,Ogini,9577
2020-10-07,OML40,Opuama,9576.95
2021-11-24,OML45,Oredo,9573.77
2019-06-24,OML45,Oredo,9573.56
2018-07-21,OML4/38/41,Amukpe,9573.08
2018-10-15,OML26,Ogini,9573
2018-10-14,OML26,Ogini,9572
2021-04-07,OML40,Gbetiokun,9570.73
2021-12-17,OML34,UghelliWest,957
2020-10-31,OML40,Opuama,9569.13
2018-06-06,OML42,JonesCreek,9569
2021-06-26,OML20,Egbema,9566.5
2019-08-28,OML26,Ogini,9562
2020-10-21,OML16,AburaSouth,9559
2020-10-22,OML16,AburaSouth,9559
2021-05-28,OML119,Okono,9558.02
2018-01-29,OML4/38/41,Amukpe,9557
2019-06-11,OML45,Oredo,9556.88
2021-04-10,OML40,Gbetiokun,9555.62
2020-10-17,OML40,Opuama,9554.83
2020-09-11,OML40,Opuama,9554.51
2018-02-04,OML4/38/41,Oben,9552.71
2018-02-04,OML4/38/41,Oben,9552.71
2019-06-20,OML45,Oredo,9552.48
2019-07-25,OML42,Batan,9552
2019-06-21,OML45,Oredo,9551.03
2019-09-05,OML42,Batan,9550
2020-08-18,OML45,Oredo,955.2
2021-03-26,OML40,Gbetiokun,9548.37
2020-10-30,OML40,Opuama,9548.08
2019-12-03,OML40,Opuama,9547
2019-03-14,OML26,Ogini,9547
2020-07-03,OML26,Ogini,9546
2019-12-16,OML40,Opuama,9544
2020-07-21,OML26,Ogini,9543
2018-08-15,OML4/38/41,Oben,9542.62
2018-06-17,OML4/38/41,Amukpe,9541.57
2019-10-02,OML34,UghelliEast,954.65
2020-03-17,OML16,AburaSouth,954.63
2019-05-12,OML34,UghelliEast,954.05
2021-09-27,OML34,Utorogu,954
2021-03-30,OML40,Gbetiokun,9539.3
2021-03-18,OML42,Odidi,9539
2019-06-17,OML45,Oredo,9538.69
2019-06-14,OML45,Oredo,9538.17
2020-10-05,OML119,Okono,9537.47
2021-04-04,OML34,UghelliEast,9537
2019-09-06,OML42,Batan,9537
2021-07-08,OML40,Opuama,9536
2019-10-15,OML26,Ogini,9535
2018-08-17,OML4/38/41,Amukpe,9534.71
2020-09-28,OML34,UghelliEast,9534
2021-04-18,OML42,Odidi,9534
2021-06-30,OML20,Egbema,9532.52
2021-03-06,OML119,Okono,9532.39
2020-10-16,OML40,Opuama,9531.66
2019-10-23,OML26,Ogini,9530
2018-09-22,OML4/38/41,Amukpe,9529.37
2021-07-20,OML20,Egbema,9527.19
2021-11-07,OML45,Oredo,9526.46
2018-08-19,OML4/38/41,Amukpe,9525.62
2020-10-18,OML40,Opuama,9524.64
2021-07-03,OML20,Egbema,9522.91
2018-08-28,OML4/38/41,Amukpe,9522.45
2020-09-13,OML40,Opuama,9522.01
2019-07-08,OML45,Oredo,9521.68
2020-05-25,OML16,AburaSouth,9521.14
2020-05-26,OML16,AburaSouth,9521.14
2020-05-24,OML16,AburaSouth,9521.14
2019-09-01,OML42,Batan,9521
2020-10-29,OML40,Opuama,9520.71
2020-09-10,OML40,Opuama,9520.63
2021-10-22,OML30,Eriemu,9520.565
2021-10-22,OML30,Afiesere,9520.565
2019-01-26,OML20,Egbema,952.57
2018-09-27,OML40,Gbetiokun,9518.06
2018-03-08,OML42,JonesCreek,9518
2021-06-07,OML16,AburaSouth,9517.07
2021-04-11,OML40,Gbetiokun,9515.41
2018-08-16,OML4/38/41,Oben,9514.94
2020-04-22,OML34,UghelliEast,951.49
2019-02-08,OML34,UghelliEast,951.18
2021-04-30,OML34,Utorogu,951
2021-07-24,OML20,Egbema,9509.36
2019-08-05,OML45,Oredo,9509.31
2021-03-04,OML42,Odidi,9509
2019-12-28,OML40,Opuama,9508
2020-10-07,OML34,UghelliEast,9508
2021-04-25,OML16,AburaSouth,9507.67
2019-12-17,OML40,Opuama,9507
2020-10-19,OML40,Opuama,9506.67
2021-07-19,OML45,Oredo,9505.32
2019-06-01,OML45,Oredo,9505.14
2020-09-12,OML40,Opuama,9504.84
2021-04-12,OML40,Gbetiokun,9504.83
2019-06-13,OML45,Oredo,9504.07
2018-10-03,OML4/38/41,Amukpe,9504.04
2021-12-03,OML42,Odidi,9503
2021-05-23,OML119,Okono,9502.36
2021-09-21,OML40,Gbetiokun,9500.17
2018-04-04,OML42,Batan,9499.5
2019-05-16,OML45,Oredo,9498.72
2021-05-31,OML26,Ogini,9498
2021-11-12,OML45,Oredo,9497.86
2020-10-25,OML40,Opuama,9496.65
2021-10-13,OML45,Oredo,9496.32
2020-04-29,OML40,Gbetiokun,9496
2020-06-17,OML26,Ogini,9496
2020-09-27,OML40,Opuama,9495.91
2020-10-27,OML40,Opuama,9495.77
2018-08-10,OML4/38/41,Amukpe,9495.51
2021-12-10,OML16,Abura,9493
2019-08-25,OML26,Ogini,9491
2021-11-15,OML40,Opuama,9491
2021-11-21,OML20,Egbema,949.0733366
2019-11-26,OML111/148,Oziengbe,949
2019-06-07,OML45,Oredo,9489.45
2020-10-10,OML45,Oredo,9489
2019-07-10,OML45,Oredo,9487.5
2021-11-10,OML45,Oredo,9487.29
2021-04-07,OML40,Opuama,9487
2020-02-22,OML42,Batan,9487
2019-06-28,OML45,Oredo,9486.71
2020-10-28,OML40,Opuama,9486.46
2020-05-10,OML26,Ogini,9486
2020-10-12,OML45,Oredo,9485.85
2021-03-28,OML40,Gbetiokun,9484.91
2019-06-09,OML45,Oredo,9484.36
2019-06-03,OML45,Oredo,9483.86
2019-08-31,OML42,Batan,9482
2020-11-01,OML40,Opuama,9481.63
2018-09-20,OML4/38/41,Amukpe,9480.08
2020-04-19,OML34,UghelliEast,948.85
